Año,Pobreza_moderada,Pobreza_extrema,Primaria_respecto_rango_edad,Secundaria_respecto_rango_edad,terciaria_respecto_rango_edad
1989,39.7,7.0,113.69416809082,57.4399795532227,15.7984304428101
1994,45.3,9.8,109.838287353516,56.8718109130859,14.8462200164795
1996,61.4,20.6,108.69319152832,61.0874290466309,16.5788097381592
1998,53.4,15.8,108.351631164551,67.0523376464844,18.2356300354004
2000,43.8,9.0,108.997932434082,71.7650299072266,20.4910106658936
2002,40.6,6.6,109.425003051758,76.0056076049805,22.1058502197266
2004,37.4,6.0,108.999183654785,81.427490234375,23.6608104705811
2005,36.7,6.6,108.60083770752,82.3040771484375,24.2164001464844
2006,33.1,4.2,108.174766540527,84.0856018066406,24.7904300689697
2008,33.4,5.4,109.424423217773,86.4275283813477,26.1120300292969
2010,33.3,4.5,110.633491516113,87.0699234008789,27.5634708404541
2012,31.6,3.8,110.413452148438,90.6671981811523,29.4718399047852
2014,33.3,3.7,108.005752563477,97.3433837890625,31.0941390991211
2016,25.4,2.2,106.277732849121,102.40406036377,38.4333801269531
2018,22.7,1.7,105.02806854248,105.103363037109,41.5228004455566
